from_id,ALI17_45,AMI17_45,AHI17_45,ATOT17_45,ALI22_45,AMI22_45,AHI22_45,ATOT22_45,diff_LI,diff_MI,diff_HI,diff_TOT,tract_id_17,LI17_rac,MI17_rac,HI17_rac,TOT17_rac,tract_id_22,LI22_rac,MI22_rac,HI22_rac,TOT22_rac,ALI17_45_n,ALI22_45_n,AMI17_45_n,AMI22_45_n,AHI17_45_n,AHI22_45_n,ATOT17_45_n,ATOT22_45_n,ALI_diff_n,AMI_diff_n,AHI_diff_n,ATOT_diff_n
48021950102,47,229,239,515,869,1614,2632,5115,822,1385,0,4600,48021950102,391,709,911,2011,48021950102,404,747,1359,2510,0.12020460358056266,2.150990099009901,0.3229901269393512,2.1606425702811247,0.2623490669593853,1.9367181751287712,0.2560914967677772,2.037848605577689,2.0307854954293383,1.8376524433417736,1.674369108169386,1.781757108809912
48021950504,78,92,41,211,149,117,121,387,71,25,0,176,48021950504,339,448,671,1458,48021950504,271,466,1008,1745,0.23008849557522124,0.5498154981549815,0.20535714285714285,0.2510729613733906,0.06110283159463487,0.12003968253968254,0.144718792866941,0.22177650429799428,0.3197270025797603,0.04571581851624773,0.05893685094504767,0.07705771143105328
48053960701,641,1096,884,2621,1587,2677,3928,8192,946,1581,0,5571,48053960701,461,666,654,1781,48053960701,359,680,826,1865,1.3904555314533622,4.420612813370473,1.6456456456456456,3.9367647058823527,1.3516819571865444,4.75544794188862,1.47164514317799,4.392493297587132,3.030157281917111,2.2911190602367073,3.4037659847020754,2.920848154409142
48053960803,32,52,23,107,346,633,1202,2181,314,581,0,2074,48053960803,148,268,283,699,48053960803,154,326,558,1038,0.21621621621621623,2.2467532467532467,0.19402985074626866,1.9417177914110428,0.0812720848056537,2.154121863799283,0.1530758226037196,2.101156069364162,2.0305370305370305,1.747687940664774,2.0728497789936293,1.9480802467604423
48209010703,150,201,203,554,227,295,417,939,77,94,0,385,48209010703,684,796,845,2325,48209010703,459,679,1153,2291,0.21929824561403508,0.49455337690631807,0.25251256281407036,0.43446244477172313,0.24023668639053256,0.3616652211621856,0.23827956989247312,0.40986468790920993,0.27525513129228296,0.18194988195765277,0.12142853477165302,0.17158511801673682
48209010817,483,683,1007,2173,500,746,1968,3214,17,63,0,1041,48209010817,412,533,1159,2104,48209010817,344,461,1431,2236,1.1723300970873787,1.4534883720930232,1.2814258911819887,1.6182212581344901,0.8688524590163934,1.3752620545073375,1.0327946768060836,1.4373881932021466,0.2811582750056445,0.33679536695250145,0.5064095954909441,0.404593516396063
48209010913,1178,2220,2135,5533,1550,3064,5353,9967,372,844,0,4434,48209010913,614,856,1998,3468,48209010913,486,870,2401,3757,1.9185667752442996,3.1893004115226335,2.5934579439252334,3.52183908045977,1.0685685685685686,2.2294877134527282,1.595444059976932,2.652914559488954,1.270733636278334,0.9283811365345365,1.1609191448841596,1.0574704995120219
48453001505,914,1692,1744,4350,599,1097,2337,4033,-315,-595,0,-317,48453001505,386,703,1694,2783,48453001505,277,413,1863,2553,2.3678756476683938,2.1624548736462095,2.406827880512091,2.656174334140436,1.0295159386068478,1.2544283413848631,1.5630614444843693,1.5797101449275361,-0.20542077402218428,0.24934645362834473,0.22491240277801539,0.016648700443166797
48453001922,481,981,958,2420,297,506,1643,2446,-184,-475,0,26,48453001922,202,280,815,1297,48453001922,139,177,940,1256,2.381188118811881,2.1366906474820144,3.5035714285714286,2.8587570621468927,1.1754601226993866,1.7478723404255319,1.8658442559753277,1.947452229299363,-0.24449747132986666,-0.6448143664245358,0.5724122177261453,0.08160797332403535
48453002004,538,964,1625,3127,510,854,2526,3890,-28,-110,0,763,48453002004,282,617,907,1806,48453002004,215,394,1332,1941,1.9078014184397163,2.372093023255814,1.5623987034035656,2.16751269035533,1.7916207276736493,1.8963963963963963,1.7314507198228128,2.004121586810922,0.4642916048160979,0.6051139869517645,0.10477566872274702,0.2726708669881093
48453002314,39,78,973,1090,884,1407,2728,5019,845,1329,0,3929,48453002314,644,1073,974,2691,48453002314,393,662,1627,2682,0.06055900621118013,2.2493638676844783,0.07269338303821063,2.1253776435045317,0.9989733059548255,1.6767055931161647,0.4050538833147529,1.871364653243848,2.1888048614732982,2.052684260466321,0.6777322871613393,1.4663107699290951
48453002444,400,549,205,1154,242,445,437,1124,-158,-104,0,-30,48453002444,540,956,1152,2648,48453002444,326,568,1483,2377,0.7407407407407407,0.7423312883435583,0.5742677824267782,0.7834507042253521,0.1779513888888889,0.2946729602157788,0.43580060422960726,0.47286495582667226,0.0015905476028176269,0.2091829217985739,0.11672157132688993,0.037064351597065004
48453032500,948,2217,5292,8457,731,1581,6499,8811,-217,-636,0,354,48453032500,426,787,1492,2705,48453032500,272,533,1566,2371,2.2253521126760565,2.6875,2.8170266836086406,2.9662288930581613,3.546916890080429,4.150063856960409,3.1264325323475046,3.716153521720793,0.4621478873239435,0.14920220944952067,0.6031469668799798,0.5897209893732884
48453033900,171,191,300,662,161,219,672,1052,-10,28,0,390,48453033900,423,614,1608,2645,48453033900,404,420,1776,2600,0.40425531914893614,0.39851485148514854,0.31107491856677527,0.5214285714285715,0.1865671641791045,0.3783783783783784,0.2502835538752363,0.4046153846153846,-0.005740467663787607,0.2103536528617962,0.1918112141992739,0.15433183074014828
